,chi_max,nb_sweeps,compression_duration,accuracy,truncation_overlap,nb_test_images
0,10,1,17.685117959976196,0.5415,"[0.04451934229062896, 0.19576089923090356, 0.039344970188508355, 0.038954589276035526, 0.037864845529134564, 0.03234447336858115, 0.0356364115893949, 0.03196618268961618, 0.043273056912074684, 0.030285008417494846]",10000
1,10,2,18.006603479385376,0.5315,"[0.0447113148678234, 0.28554670901671686, 0.04710620929347678, 0.04648378708547894, 0.0443857881177048, 0.043096842143934236, 0.04491570623794086, 0.03863724671940441, 0.047110199470934255, 0.04416292233763543]",10000
2,10,3,17.993300914764404,0.5293,"[0.04708820052719172, 0.2979610424353216, 0.04710637498368585, 0.047132828384781035, 0.04652530172660191, 0.04717171606192203, 0.046804738527940266, 0.04301147619152746, 0.04711025602333665, 0.044682004869544996]",10000
3,30,1,58.93428897857666,0.6771,"[0.07816360596315002, 0.3332322017792836, 0.07383984095495424, 0.06762059922399657, 0.06265921586074914, 0.0639775988217838, 0.06806902334299064, 0.06324442710648864, 0.07570196860963223, 0.059641823046778106]",10000
4,30,2,59.83985614776611,0.6583,"[0.08031588282375307, 0.4053253974978155, 0.08027451357841803, 0.07920256374644885, 0.0775290830297164, 0.07793826281547593, 0.07948216965354826, 0.07755866787059702, 0.08154483594616223, 0.07791469081915683]",10000
5,30,3,59.50861954689026,0.6547,"[0.08160156130410023, 0.43012757232810217, 0.08159659342782555, 0.08155606799725147, 0.07977757947119415, 0.07989773889024286, 0.08041049266255668, 0.0801216287212023, 0.08159880925387583, 0.0809465847576161]",10000
6,50,1,118.9585063457489,0.738,"[0.10144675913146077, 0.3918783022541339, 0.09604730057570317, 0.08669526391124485, 0.08456543206537959, 0.08827596631209528, 0.08863044322067724, 0.08504049104018463, 0.10121081459944997, 0.08780368685385405]",10000
7,50,2,118.78441333770752,0.7143,"[0.10528021099633128, 0.48822822785787473, 0.10504752655343425, 0.10234412152926706, 0.10135905766508589, 0.10259230595706856, 0.10145730658106475, 0.10227702820860275, 0.10531776994471417, 0.10186254669702206]",10000
8,50,3,119.24867606163025,0.7086,"[0.10534831904854469, 0.5158591573689406, 0.10532897024548864, 0.10353582868768993, 0.10465857374504425, 0.10409371837859914, 0.10419392827019708, 0.10564521838702412, 0.1053180720331156, 0.10413324368555776]",10000
