,chi,truncation_overlap,accuracy
0,2.0,0.012479947565386514,0.5192
1,10.0,0.12903252903526263,0.9194
2,20.0,0.17319846089006766,0.9452
3,30.0,0.19825943086410122,0.9526
4,50.0,0.2301069815711581,0.9586
